name,url,bedrooms,bathrooms,floors,land_area,building_area,longitude,latitude,price
rumah disewakan di jalan Batununggal,https://www.lamudi.co.id/rumah-disewakan-di-jalan-batununggal-170209093795.html,3.0,3.0,1.0,91.0,120.0,107.64083,-6.93472,70000000.0
rumah disewakan di jalan mekar wangi,https://www.lamudi.co.id/rumah-disewakan-di-jalan-mekar-wangi-170201497448.html,2.0,1.0,1.0,120.0,100.0,107.61056,-6.95722,50000000.0
Disewakan Rumah Di Tatar Tarubhawana Kotabaru Parahyangan Padalarang,https://www.lamudi.co.id/disewakan-rumah-di-tatar-tarubhawana-kotabaru-para-170237188327.html,,2.0,1.0,120.0,94.0,107.467209,-6.844347,100000000.0
Disewakan Rumah Siap Huni 2 Kamar Di Komplek Cluster Ciwastra Bandung ,https://www.lamudi.co.id/disewakan-rumah-siap-huni-2-kamar-di-komplek-clust-170355659182.html,2.0,1.0,1.0,90.0,50.0,107.6654783,-6.9608602,29000000.0
DISEWAKAN rumah komp Kota kembang Permai jl jakarta ,https://www.lamudi.co.id/disewakan-rumah-komp-kota-kembang-permai-jl-jakart-169617188418.html,3.0,2.0,1.0,148.0,128.0,107.63506,-6.91431,70000000.0
Rumah Terawat Siap Huni Mekar Wangi Cibaduyut Bandung,https://www.lamudi.co.id/rumah-terawat-siap-huni-mekar-wangi-cibaduyut-band-169662212869.html,3.0,3.0,1.0,79.0,87.0,107.61056,-6.95722,60000000.0
Rumah Setrasari Kulon 200m dari Telkom Gerlong,https://www.lamudi.co.id/rumah-setrasari-kulon-200m-dari-telkom-gerlong-169693822128.html,5.0,5.0,1.0,700.0,450.0,107.58667,-6.89833,150000000.0
Disewakan Rumah Baru Di Kota Baru Parahyangan Tarubhawana,https://www.lamudi.co.id/disewakan-rumah-baru-di-kota-baru-parahyangan-taru-169662500465.html,3.0,2.0,1.0,120.0,122.0,107.6025,-6.92472,110000000.0
Disewakan Rumah siap huni di Margahayu raya Bandung.,https://www.lamudi.co.id/disewakan-rumah-siap-huni-di-margahayu-raya-bandun-169891843712.html,,1.0,1.0,93.0,,107.6489677,-6.9431017,45000000.0
"Di Sewakan Rumah Furnished, Siap huni, Jl. Batununggal Jelita",https://www.lamudi.co.id/di-sewakan-rumah-furnished-siap-huni-jl-batunungga-169874018652.html,4.0,3.0,1.0,240.0,300.0,1.0,1.0,95000000.0
Disewakan rumah strategis dengan view bandung ,https://www.lamudi.co.id/disewakan-rumah-strategis-dengan-view-bandung-169174297667.html,2.0,1.0,1.0,160.0,60.0,107.69819,-6.91036,40000000.0
Disewakan Rumah Bagus Dua Lantai Di Terusan Asih Sarijadi,https://www.lamudi.co.id/disewakan-rumah-bagus-dua-lantai-di-terusan-asih-s-169661996634.html,4.0,4.0,1.0,,300.0,107.586768,-6.875405,100000000.0
Sewa Rumah Murah 1 Lantai Podomoro Park Klaster Padmagriya,https://www.lamudi.co.id/sewa-rumah-murah-1-lantai-podomoro-park-klaster-pa-168869743386.html,2.0,1.0,1.0,84.0,40.0,107.63361,-6.98056,40000000.0
"DiSewakan / Kontrak Rumah di Perumahan Ranca Mas, Ranca Manyar.",https://www.lamudi.co.id/disewakan-kontrak-rumah-di-perumahan-ranca-mas-ran-16937905316.html,2.0,1.0,1.0,72.0,45.0,107.60694,-7.18806,13000000.0
sewa rumah siap huni sanggar hurip,https://www.lamudi.co.id/sewa-rumah-siap-huni-sanggar-hurip-16963948589.html,8.0,5.0,1.0,288.0,300.0,107.62444,-6.81167,75000000.0
Disewakan Rumah Furnished Pesona Bali dekat STT Telkom,https://www.lamudi.co.id/disewakan-rumah-furnished-pesona-bali-dekat-stt-te-16956936197.html,3.0,2.0,1.0,60.0,90.0,107.63582,-6.97821,37000000.0
Disewakan Rumah Bagus Full Furnished Di Summarecon Cluster Dayana,https://www.lamudi.co.id/disewakan-rumah-bagus-full-furnished-di-summarecon-169031319878.html,2.0,2.0,1.0,66.0,54.0,107.687404,-6.948904,45000000.0
Rumah Bersih Terawat Di Singgasana Mekar Wangi Bandung,https://www.lamudi.co.id/rumah-bersih-terawat-di-singgasana-mekar-wangi-ban-170059685185.html,3.0,3.0,1.0,200.0,250.0,107.593915,-6.950059,85000000.0
Sewa Rumah Podomoro Park Klaster Amagriya,https://www.lamudi.co.id/sewa-rumah-podomoro-park-klaster-amagriya-169693437094.html,3.0,3.0,1.0,126.0,127.0,107.6212817,-6.9548746,73000000.0
Sewa Rumah Murah 2 Lantai Podomoro Park Klaster Padmagriya,https://www.lamudi.co.id/sewa-rumah-murah-2-lantai-podomoro-park-klaster-pa-169761465762.html,2.0,2.0,2.0,57.0,66.0,107.63361,-6.98056,53000000.0
Di SewakannRumah di Mekar Wangi   Ev,https://www.lamudi.co.id/di-sewakannrumah-di-mekar-wangi-ev-170168987224.html,2.0,1.0,1.0,120.0,100.0,107.61056,-6.95722,50000000.0
Rumah Mainroad Supratman Bandung Cocok Buat Rumah Makan,https://www.lamudi.co.id/rumah-mainroad-supratman-bandung-cocok-buat-rumah-169765886679.html,1.0,2.0,1.0,900.0,500.0,107.598862,-6.921688,250000000.0
"sewa rumah full furnish Deket maranatha,pasteur",https://www.lamudi.co.id/sewa-rumah-full-furnish-deket-maranatha-pasteur-169226215961.html,4.0,,1.0,144.0,270.0,107.586768,-6.875405,80000000.0
Disewakan Rumah di Kota Baru Parahyangan,https://www.lamudi.co.id/disewakan-rumah-di-kota-baru-parahyangan-169277563458.html,3.0,2.0,1.0,108.0,80.0,107.467209,-6.844347,45000000.0
Rumah Siap Huni Strategis Pusat Kota Bandung,https://www.lamudi.co.id/rumah-siap-huni-strategis-pusat-kota-bandung-169706314394.html,4.0,3.0,1.0,229.0,180.0,107.626978,-6.929357,85000000.0
Sewa Rumah Podomoro Park Klaster Anapuri Dengan View Dekat Danau,https://www.lamudi.co.id/sewa-rumah-podomoro-park-klaster-anapuri-dengan-vi-169863902238.html,4.0,3.0,2.0,264.0,168.0,107.63361,-6.98056,95000000.0
Sewa RUmah Full Furnished Singgasana Pradana Mekarwangi,https://www.lamudi.co.id/sewa-rumah-full-furnished-singgasana-pradana-mekar-170061405498.html,4.0,3.0,1.0,200.0,227.0,107.593915,-6.950059,125000000.0
SEWA RUMAH BATU INDAH BATUNUNGGAL,https://www.lamudi.co.id/sewa-rumah-batu-indah-batununggal-169640663239.html,2.0,,1.0,100.0,90.0,107.51396,-6.85221,60000000.0
